seed,sample_id,split,y0,y1,y2,y3,y4,y5,y6
0,0x9b13026a4430acbfd3d80d9dea2cebc4e7d1d79a,train,0,0,0,0,0,0,0
0,buggy_110x1c3ac706cf023365004f48da5094ff01c3bed4f2_SafeMath_div,train,1,0,0,0,0,0,0
0,buggy_440xa487ee76c22b629c9c0319f61d34ff0abd821781_CodeFundToken_,train,0,1,0,0,0,0,0
0,integer_overflow_multitx_multifunc_feasible,train,0,1,0,0,0,0,0
0,0xff7a0282d23138dccb55334f1beced4b5ddffb1a,train,0,0,0,0,0,0,0
0,buggy_280x4ffe33e525042cc84c503db5842ecda280f4a805_GreenWorldProject_,train,0,0,0,0,1,0,0
0,buggy_430x57652fc91f522f9eff0b38cdf1d51f5fb5764215_ERC20_balanceOf,train,0,0,0,1,0,0,0
0,0xd2018bfaa266a9ec0a1a84b061640faa009def76,train,0,0,0,0,0,0,1
0,0xfdd369d28168d4ea5eb83f098542a140002feaaa,train,0,0,0,0,0,0,0
0,dos__buggy_23,train,0,0,1,0,0,0,0
0,auction0xd7408546678406f239410acc4f5ac5ca1b633ce5_DragonFarmer_getMyNormalDragons,train,0,0,1,0,0,0,0
0,time_manipulation__buggy_18,train,0,0,0,0,0,1,0
0,buggy_110x61df50dbc9cc7a057148cfbacca7928e016c4c8a_SafeMath_mul,train,0,0,0,0,0,0,1
0,buggy_380x395d3d67f3ef6c626da4a06a7bffecfc4f089b78_SerenityTeamAllocator_unlock,train,0,0,0,0,0,1,0
0,buggy_280x73b774ff2e2bbad413a37db5ea87cdf736b71ef6_BasicToken_balanceOf,train,0,0,0,0,1,0,0
0,buggy_400x63bcfa2aaf618662b76e58eae4ee410f933b47ac_SafeMath_mod,train,0,0,0,0,0,0,1
0,buggy_440x3db60827d65909778ce990a5477fcc6d534ec785_ERC20_balanceOf,train,0,0,0,1,0,0,0
0,reentrancy__buggy_49,train,0,0,0,0,1,0,0
0,buggy_40x2c72ee35637cb6df00f8c07595b564a05f667006_SafeMath_mul,train,0,0,1,0,0,0,0
0,0x06ea256d8a2112aff4f700407e254bae8921811d,train,0,0,0,0,0,0,0
0,lottopollo0x7a8246fd9072b9ed583c34993747b113da6d31d5_SHEX_,train,0,0,0,0,0,1,0
0,buggy_30x73b774ff2e2bbad413a37db5ea87cdf736b71ef6_BasicToken_totalSupply,train,0,0,0,0,0,1,0
0,arithmetic__buggy_24,train,0,1,0,0,0,0,0
0,buggy_320xe0cf47de7cefffd753a3fb95170dc5a4c018e3f5_SafeMath_safeDiv,train,0,1,0,0,0,0,0
0,arithmetic__buggy_47,train,0,1,0,0,0,0,0
0,reentrancy_insecure0x7941f0ff95884f45f965eac9bf1678ed34ef1665_SafeMath_sub,train,0,0,0,0,1,0,0
0,buggy_40x71396a6410249725c5609646c4e449c6c4d41e27_SafeMath_mul,train,0,0,0,0,1,0,0
0,0x524960d55174d912768678d8c606b4d50b79d7b10x2313f908beddcb07565cdb48354523981d3a01c2_ERC20Token_balanceOf,train,0,0,0,0,0,0,1
0,buggy_240xd7ba91b3ede1698a7d1f991d7d5bd9c0c8995a58_Zero_notZero,train,0,0,0,0,0,0,1
0,dos__buggy_18,train,0,0,1,0,0,0,0
0,0x304baed6911a22c95cf6fa7fe74525e28359a529,train,0,0,0,0,0,0,0
0,buggy_440x6da90c566e1f4771a74fe0ce047c3763a5f79e79_SafeMath_div,train,0,0,0,0,1,0,0
0,buggy_380xff7a0282d23138dccb55334f1beced4b5ddffb1a_Ownable_owner,train,1,0,0,0,0,0,0
0,buggy_230x8b79656fc38a04044e495e22fad747126ca305c4_SafeMath_div,train,0,0,0,1,0,0,0
0,0x2972d548497286d18e92b5fa1f8f9139e5653fd20x5985e21f48b47ec33e19a40549f60d3ef7a797f8_ProofOfExistence_publishTopTimeBeat,train,0,0,0,0,0,0,1
0,arithmetic__buggy_18,train,0,1,0,0,0,0,0
0,buggy_380xd1766cc0a81e40d488d16357b590a0d009e0d927_SafeMath_mod,train,0,0,0,0,0,1,0
0,insecure_transfer0x16ea01acb4b0bca2000ee5473348b6937ee6f72f_BasicToken_totalSupply,train,0,1,0,0,0,0,0
0,dos__buggy_49,train,0,0,1,0,0,0,0
0,buggy_400xdee1a3bce0bba1c811f0a50d67ff4fb70e791f60_SafeMath_mul,train,1,0,0,0,0,0,0
0,dos__buggy_44,train,0,0,1,0,0,0,0
0,buggy_400x927c993100ec88012afebf1bff292cf2d4c6317a_Pausable_addDistributionContract,train,0,1,0,0,0,0,0
0,buggy_380xf7be3fefee60736b7602bb75d5d0c6bdc1a88222_DanpiaTestTokens_balanceOf,train,0,0,1,0,0,0,0
0,overflow_single_tx0xf226e38c3007b3d974fc79bcf5a77750035436ee_SafeMath_div,train,0,1,0,0,0,0,0
0,buggy_110xa5b91fbfec2f9a708592f9cd3c9e20becdfcb816_VIPToken_balanceOf,train,1,0,0,0,0,0,0
0,buggy_280x98b89a9947a668c1baa48382de7f4a952ef37b53_Pausable_paused,train,0,0,1,0,0,0,0
0,buggy_230xe25789d1b6f8eed8e421ba6aa9a8c2416efcc229_SafeMath_safeDiv,train,0,0,0,1,0,0,0
0,buggy_30xe0cf1a976503b6e27250d710f7097c004b9a706b_QTMTotal_totalSupply,train,0,0,0,0,0,0,1
0,0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152,train,0,0,0,0,0,0,1
0,arithmetic__buggy_40,train,0,1,0,0,0,0,0
0,odds_and_evens,train,0,0,0,1,0,0,0
0,buggy_11buggy_140x309a758f5f33bd4418876b32d38c8d15c59c7799_Controller_Owner_SafeMath_mod,train,0,1,0,0,0,0,0
0,buggy_150x94534caebd1887be3d57179728a670a3436bb443_BasicToken_totalSupply,train,0,0,0,0,1,0,0
0,buggy_30xb70e23a235eb97a5397261be9a85de73eba212c1_ERC20_totalSupply,train,0,0,0,0,1,0,0
0,buggy_440x1c3ac706cf023365004f48da5094ff01c3bed4f2_SafeMath_div,train,0,0,0,1,0,0,0
0,buggy_280xcb9eea7d381094875cf1876da9522ffb4bc59a7c_SafeMath_div,train,0,0,0,1,0,0,0
0,buggy_320x48271aa08d6309895447c067e728e8b140ddf2b4_ERC20_allowance,train,0,0,0,0,0,0,1
0,reentrancy_cross_function,train,0,0,0,0,1,0,0
0,0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc90x72ee07223ad92dfd9e37ce03ad795b1aeddd28b4_EthGarden_getBalance,train,0,0,0,0,0,0,1
0,buggy_110x07843efd5be9ed17074b36f84bd42a907c2c2239_SafeMath_mul,train,0,0,0,0,1,0,0
0,buggy_190x44f903884941b591ba1359d62c4cd04f3feb2235_StandardToken_allowance,train,1,0,0,0,0,0,0
0,governmental_survey,train,0,0,0,0,0,1,0
0,0x543a5514c5cd08dd08228f54fbc79ba9b5a47187,train,0,0,0,0,0,0,0
0,buggy_20x488706a24af724795b9a011fc7245d363afe0f2c_SafeMath_div,train,0,0,0,0,0,0,1
0,access_control__buggy_27,train,1,0,0,0,0,0,0
0,buggy_240x420167d87d35c3a249b32ef6225872fbd9ab85d2_SafeMath_mod,train,0,1,0,0,0,0,0
0,buggy_240x5f4506db5b568e103532f84d32a285cdd5aa5751_FixedSupplyToken_balanceOf,train,0,0,0,0,0,0,1
0,0xa46edd6a9a93feec36576ee5048146870ea2c3ae0x81385b32393df2b940f77e06334a548f7d61b9b7_SafeMath_safeDiv,train,0,0,0,0,0,0,1
0,buggy_110x2af3cd240d4a8e6217e4e85a07c5969e7b4d2023_Ownable_owner,train,0,0,0,0,0,0,1
0,0xf2570186500a46986f3139f65afedc2afe4f445d0x091f601d7b6c0c8073d075a1847bafc6872559a4_Clue_totalSupply,train,0,0,0,0,0,0,1
0,buggy_380x6353eadf8d1d4421002332bb9074222b14d54881_SafeMath_max64,train,0,0,0,0,0,0,1
0,buggy_140x01b03903a1660ae507ddbb6224e478bce176c275_SafeMath_mul,train,1,0,0,0,0,0,0
0,buggy_430x39f5be9f4b18830c9bb17cfdb045a4724c3d3b28_MCCIT_setOwner,train,0,0,0,1,0,0,0
0,buggy_380x00fc270c9cc13e878ab5363d00354bebf6f05c15_VNXLU_decimals,train,0,0,0,0,0,0,1
0,buggy_40x64f505822e7144b0dbb7a36c7b35c777d5cddc17_SafeMath_mul,train,0,1,0,0,0,0,0
0,buggy_40x0e5d3380806f947b151fc3c9ba8946453fada97a_BasicToken_totalSupply,train,0,0,0,0,0,0,1
0,0x189fdb81e99c9c1a442a7e4b9cf4a389ca7878b7,train,0,0,0,0,0,0,0
0,buggy_20x61b2d3ea9f1c6b387c985c73d40e8fbfb284e5c7_RC20_totalSupply,train,1,0,0,0,0,0,0
0,0x7d03b834e1f302547e40f1def6bff774c3386526,train,0,0,0,0,0,0,0
0,dos__buggy_20,train,0,0,1,0,0,0,0
0,buggy_40xe0cf47de7cefffd753a3fb95170dc5a4c018e3f5_SafeMath_safeDiv,train,0,1,0,0,0,0,0
0,buggy_280x63bcfa2aaf618662b76e58eae4ee410f933b47ac_SafeMath_mod,train,1,0,0,0,0,0,0
0,buggy_240xde0722169f3e94fa73e1b1ee1aa59b5a73b56bbd_HoloParkGamingToken_,train,0,1,0,0,0,0,0
0,buggy_110x230bd39c5fb6da9086596ec8c347f5d4a666ec06_SafeMath_safeMul,train,0,0,0,0,1,0,0
0,buggy_280x719ca90842a9f4d4fb52251db88703e4bc4a07ca_SafeMath_mul,train,0,0,0,0,0,1,0
0,mapping_write0x13565ed69a6997dada0cc0e2087f08504626d9db_SafeMath_div,train,1,0,0,0,0,0,0
0,0x5c55678808cbc78b90d2f763c56a0abd622908a0,train,0,0,0,0,0,0,0
0,buggy_30x927c993100ec88012afebf1bff292cf2d4c6317a_SafeMath_mul,train,0,0,1,0,0,0,0
0,0x5aa88d2901c68fda244f1d0584400368d2c8e739,train,0,0,0,0,0,0,1
0,uncheck__buggy_50,train,0,0,0,0,0,0,1
0,0xd5967fed03e85d1cce44cab284695b41bc675b5c0xa6fd6f9b44127dbdc02fa1712fbedd21d14b4f20_BCE_BCEToken,train,0,0,0,0,0,0,1
0,buggy_110x68f8b2e7b1a5841724e614758a56ade0482f077e_ERC20PartialLock_lockedOf,train,0,0,1,0,0,0,0
0,0x6316ee5821d02764842689d5437c83e93a81257b,train,0,0,0,0,0,0,0
0,buggy_380x68eb95dc9934e19b86687a10df8e364423240e94_SafeMath_mod,train,0,0,0,0,0,1,0
0,front_running__buggy_40xda9b16706b1891b298d2dd4da3998343fa7e5820_SafeMath_div,train,0,0,0,1,0,0,0
0,access_control__buggy_19,train,1,0,0,0,0,0,0
0,0xd110bb8a24b100c37af7310416e685af807c1f10,train,0,0,0,0,0,0,0
0,0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87,train,0,0,0,0,0,0,1
