[ft] 语料=alldata  输出=runs/codebert_ft_probe/ss2
[ft] split_seed2  train=362 val=45 test=46（已断言 train ∩ val∪test = ∅）
[ft] 训练序列 8542 条（合约均 23.6 个函数）
[ft] epoch 1: loss=1.4164 val_macro_f1=0.2377 lr=2.00e-05 (127.7s)
[ft] epoch 2: loss=1.0045 val_macro_f1=0.2230 lr=2.00e-05 (257.0s)
[ft] epoch 3: loss=0.7691 val_macro_f1=0.3698 lr=2.00e-05 (387.3s)
[ft] epoch 4: loss=0.4808 val_macro_f1=0.2308 lr=2.00e-05 (517.0s)
[ft] epoch 5: loss=0.3495 val_macro_f1=0.4467 lr=2.00e-05 (647.1s)
[ft] epoch 6: loss=0.2579 val_macro_f1=0.4332 lr=2.00e-05 (776.9s)
[ft] epoch 7: loss=0.1998 val_macro_f1=0.4433 lr=1.00e-05 (907.3s)
[ft] epoch 8: loss=0.1355 val_macro_f1=0.4508 lr=1.00e-05 (1038.2s)
[ft] epoch 9: loss=0.1097 val_macro_f1=0.4663 lr=1.00e-05 (1168.2s)
[ft] epoch 10: loss=0.0893 val_macro_f1=0.4862 lr=1.00e-05 (1299.6s)
[ft] epoch 11: loss=0.0416 val_macro_f1=0.6049 lr=1.00e-05 (1429.9s)
[ft] epoch 12: loss=0.0633 val_macro_f1=0.6149 lr=1.00e-05 (1560.4s)
[ft] 完成：best epoch 12 val_macro_f1=0.6149 → runs/codebert_ft_probe/ss2/encoder
