[n9] 分组 ['main', 'aug']；21 臂 × 9 对 + 基线 = 396 个条目；dry_run=False

组     臂                配对      唯一开关                           复用判定
----------------------------------------------------------------------------------------
main  _base            0:0     （基线臂）                          ♻ 复用
main  _base            0:1     （基线臂）                          ♻ 复用
main  _base            0:2     （基线臂）                          ♻ 复用
main  _base            1:0     （基线臂）                          ♻ 复用
main  _base            1:1     （基线臂）                          ♻ 复用
main  _base            1:2     （基线臂）                          ♻ 复用
main  _base            2:0     （基线臂）                          ♻ 复用
main  _base            2:1     （基线臂）                          ♻ 复用
main  _base            2:2     （基线臂）                          ♻ 复用
main  dfg_dep          0:0     --drop-edges 3                 ♻ 复用
main  dfg_dep          0:1     --drop-edges 3                 ▶ 新跑
main  dfg_dep          0:2     --drop-edges 3                 ▶ 新跑
main  dfg_dep          1:0     --drop-edges 3                 ▶ 新跑
main  dfg_dep          1:1     --drop-edges 3                 ♻ 复用
main  dfg_dep          1:2     --drop-edges 3                 ▶ 新跑
main  dfg_dep          2:0     --drop-edges 3                 ▶ 新跑
main  dfg_dep          2:1     --drop-edges 3                 ▶ 新跑
main  dfg_dep          2:2     --drop-edges 3                 ♻ 复用
main  cfg_flow         0:0     --drop-edges 0                 ♻ 复用
main  cfg_flow         0:1     --drop-edges 0                 ▶ 新跑
main  cfg_flow         0:2     --drop-edges 0                 ▶ 新跑
main  cfg_flow         1:0     --drop-edges 0                 ▶ 新跑
main  cfg_flow         1:1     --drop-edges 0                 ♻ 复用
main  cfg_flow         1:2     --drop-edges 0                 ▶ 新跑
main  cfg_flow         2:0     --drop-edges 0                 ▶ 新跑
main  cfg_flow         2:1     --drop-edges 0                 ▶ 新跑
main  cfg_flow         2:2     --drop-edges 0                 ♻ 复用
main  ast_parent       0:0     --drop-ast                     ♻ 复用
main  ast_parent       0:1     --drop-ast                     ▶ 新跑
main  ast_parent       0:2     --drop-ast                     ▶ 新跑
main  ast_parent       1:0     --drop-ast                     ▶ 新跑
main  ast_parent       1:1     --drop-ast                     ♻ 复用
main  ast_parent       1:2     --drop-ast                     ▶ 新跑
main  ast_parent       2:0     --drop-ast                     ▶ 新跑
main  ast_parent       2:1     --drop-ast                     ▶ 新跑
main  ast_parent       2:2     --drop-ast                     ♻ 复用
main  callback_risk    0:0     --drop-edges 4                 ♻ 复用
main  callback_risk    0:1     --drop-edges 4                 ▶ 新跑
main  callback_risk    0:2     --drop-edges 4                 ▶ 新跑
main  callback_risk    1:0     --drop-edges 4                 ▶ 新跑
main  callback_risk    1:1     --drop-edges 4                 ♻ 复用
main  callback_risk    1:2     --drop-edges 4                 ▶ 新跑
main  callback_risk    2:0     --drop-edges 4                 ▶ 新跑
main  callback_risk    2:1     --drop-edges 4                 ▶ 新跑
main  callback_risk    2:2     --drop-edges 4                 ♻ 复用
main  cb_node_only     0:0     --cb-channels cb_node          ♻ 复用
main  cb_node_only     0:1     --cb-channels cb_node          ▶ 新跑
main  cb_node_only     0:2     --cb-channels cb_node          ▶ 新跑
main  cb_node_only     1:0     --cb-channels cb_node          ▶ 新跑
main  cb_node_only     1:1     --cb-channels cb_node          ♻ 复用
main  cb_node_only     1:2     --cb-channels cb_node          ▶ 新跑
main  cb_node_only     2:0     --cb-channels cb_node          ▶ 新跑
main  cb_node_only     2:1     --cb-channels cb_node          ▶ 新跑
main  cb_node_only     2:2     --cb-channels cb_node          ♻ 复用
main  cb_func_only     0:0     --cb-channels cb_func          ♻ 复用
main  cb_func_only     0:1     --cb-channels cb_func          ▶ 新跑
main  cb_func_only     0:2     --cb-channels cb_func          ▶ 新跑
main  cb_func_only     1:0     --cb-channels cb_func          ▶ 新跑
main  cb_func_only     1:1     --cb-channels cb_func          ♻ 复用
main  cb_func_only     1:2     --cb-channels cb_func          ▶ 新跑
main  cb_func_only     2:0     --cb-channels cb_func          ▶ 新跑
main  cb_func_only     2:1     --cb-channels cb_func          ▶ 新跑
main  cb_func_only     2:2     --cb-channels cb_func          ♻ 复用
main  meanpool         0:0     --meanpool                     ♻ 复用
main  meanpool         0:1     --meanpool                     ▶ 新跑
main  meanpool         0:2     --meanpool                     ▶ 新跑
main  meanpool         1:0     --meanpool                     ▶ 新跑
main  meanpool         1:1     --meanpool                     ♻ 复用
main  meanpool         1:2     --meanpool                     ▶ 新跑
main  meanpool         2:0     --meanpool                     ▶ 新跑
main  meanpool         2:1     --meanpool                     ▶ 新跑
main  meanpool         2:2     --meanpool                     ♻ 复用
main  no_lvar          0:0     --lambda-var 0.0               ♻ 复用
main  no_lvar          0:1     --lambda-var 0.0               ▶ 新跑
main  no_lvar          0:2     --lambda-var 0.0               ▶ 新跑
main  no_lvar          1:0     --lambda-var 0.0               ▶ 新跑
main  no_lvar          1:1     --lambda-var 0.0               ♻ 复用
main  no_lvar          1:2     --lambda-var 0.0               ▶ 新跑
main  no_lvar          2:0     --lambda-var 0.0               ▶ 新跑
main  no_lvar          2:1     --lambda-var 0.0               ▶ 新跑
main  no_lvar          2:2     --lambda-var 0.0               ♻ 复用
main  no_prior_drop    0:0     --prior-dropout 0.0            ♻ 复用
main  no_prior_drop    0:1     --prior-dropout 0.0            ▶ 新跑
main  no_prior_drop    0:2     --prior-dropout 0.0            ▶ 新跑
main  no_prior_drop    1:0     --prior-dropout 0.0            ▶ 新跑
main  no_prior_drop    1:1     --prior-dropout 0.0            ♻ 复用
main  no_prior_drop    1:2     --prior-dropout 0.0            ▶ 新跑
main  no_prior_drop    2:0     --prior-dropout 0.0            ▶ 新跑
main  no_prior_drop    2:1     --prior-dropout 0.0            ▶ 新跑
main  no_prior_drop    2:2     --prior-dropout 0.0            ♻ 复用
main  feat_base        0:0     --feat-groups base             ♻ 复用
main  feat_base        0:1     --feat-groups base             ▶ 新跑
main  feat_base        0:2     --feat-groups base             ▶ 新跑
main  feat_base        1:0     --feat-groups base             ▶ 新跑
main  feat_base        1:1     --feat-groups base             ♻ 复用
main  feat_base        1:2     --feat-groups base             ▶ 新跑
main  feat_base        2:0     --feat-groups base             ▶ 新跑
main  feat_base        2:1     --feat-groups base             ▶ 新跑
main  feat_base        2:2     --feat-groups base             ♻ 复用
main  feat_base_sem    0:0     --feat-groups base+sem         ♻ 复用
main  feat_base_sem    0:1     --feat-groups base+sem         ▶ 新跑
main  feat_base_sem    0:2     --feat-groups base+sem         ▶ 新跑
main  feat_base_sem    1:0     --feat-groups base+sem         ▶ 新跑
main  feat_base_sem    1:1     --feat-groups base+sem         ♻ 复用
main  feat_base_sem    1:2     --feat-groups base+sem         ▶ 新跑
main  feat_base_sem    2:0     --feat-groups base+sem         ▶ 新跑
main  feat_base_sem    2:1     --feat-groups base+sem         ▶ 新跑
main  feat_base_sem    2:2     --feat-groups base+sem         ♻ 复用
main  hid256           0:0     --hid 256                      ♻ 复用
main  hid256           0:1     --hid 256                      ▶ 新跑
main  hid256           0:2     --hid 256                      ▶ 新跑
main  hid256           1:0     --hid 256                      ▶ 新跑
main  hid256           1:1     --hid 256                      ♻ 复用
main  hid256           1:2     --hid 256                      ▶ 新跑
main  hid256           2:0     --hid 256                      ▶ 新跑
main  hid256           2:1     --hid 256                      ▶ 新跑
main  hid256           2:2     --hid 256                      ♻ 复用
main  numbases1        0:0     --num-bases 1                  ♻ 复用
main  numbases1        0:1     --num-bases 1                  ▶ 新跑
main  numbases1        0:2     --num-bases 1                  ▶ 新跑
main  numbases1        1:0     --num-bases 1                  ▶ 新跑
main  numbases1        1:1     --num-bases 1                  ♻ 复用
main  numbases1        1:2     --num-bases 1                  ▶ 新跑
main  numbases1        2:0     --num-bases 1                  ▶ 新跑
main  numbases1        2:1     --num-bases 1                  ▶ 新跑
main  numbases1        2:2     --num-bases 1                  ♻ 复用
main  numbases3        0:0     --num-bases 3                  ♻ 复用
main  numbases3        0:1     --num-bases 3                  ▶ 新跑
main  numbases3        0:2     --num-bases 3                  ▶ 新跑
main  numbases3        1:0     --num-bases 3                  ▶ 新跑
main  numbases3        1:1     --num-bases 3                  ♻ 复用
main  numbases3        1:2     --num-bases 3                  ▶ 新跑
main  numbases3        2:0     --num-bases 3                  ▶ 新跑
main  numbases3        2:1     --num-bases 3                  ▶ 新跑
main  numbases3        2:2     --num-bases 3                  ♻ 复用
main  numbases4        0:0     --num-bases 4                  ♻ 复用
main  numbases4        0:1     --num-bases 4                  ▶ 新跑
main  numbases4        0:2     --num-bases 4                  ▶ 新跑
main  numbases4        1:0     --num-bases 4                  ▶ 新跑
main  numbases4        1:1     --num-bases 4                  ♻ 复用
main  numbases4        1:2     --num-bases 4                  ▶ 新跑
main  numbases4        2:0     --num-bases 4                  ▶ 新跑
main  numbases4        2:1     --num-bases 4                  ▶ 新跑
main  numbases4        2:2     --num-bases 4                  ♻ 复用
main  dropedge02       0:0     --drop-edge-prob 0.2           ♻ 复用
main  dropedge02       0:1     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       0:2     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       1:0     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       1:1     --drop-edge-prob 0.2           ♻ 复用
main  dropedge02       1:2     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       2:0     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       2:1     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       2:2     --drop-edge-prob 0.2           ♻ 复用
main  layers1          0:0     --layers 1                     ♻ 复用
main  layers1          0:1     --layers 1                     ▶ 新跑
main  layers1          0:2     --layers 1                     ▶ 新跑
main  layers1          1:0     --layers 1                     ▶ 新跑
main  layers1          1:1     --layers 1                     ♻ 复用
main  layers1          1:2     --layers 1                     ▶ 新跑
main  layers1          2:0     --layers 1                     ▶ 新跑
