[ft] 语料=alldata  输出=runs/codebert_ft_buggy/ss0
[ft] split_seed0  train=398 val=50 test=49（已断言 train ∩ val∪test = ∅）
[ft] 训练序列 9881 条（合约均 24.8 个函数）
[ft] epoch 1: loss=2.1537 val_macro_f1=0.8612 lr=2.00e-05 (152.1s)
[ft] epoch 2: loss=0.6569 val_macro_f1=0.9070 lr=2.00e-05 (306.8s)
[ft] epoch 3: loss=0.3800 val_macro_f1=0.8973 lr=2.00e-05 (463.2s)
[ft] epoch 4: loss=0.2581 val_macro_f1=0.8788 lr=1.00e-05 (619.6s)
[ft] epoch 5: loss=0.1850 val_macro_f1=0.8873 lr=1.00e-05 (774.3s)
[ft] epoch 6: loss=0.1157 val_macro_f1=0.9146 lr=1.00e-05 (930.4s)
[ft] epoch 7: loss=0.0921 val_macro_f1=0.9335 lr=1.00e-05 (1086.8s)
[ft] epoch 8: loss=0.0588 val_macro_f1=0.9259 lr=1.00e-05 (1241.6s)
[ft] epoch 9: loss=0.0405 val_macro_f1=0.9381 lr=1.00e-05 (1396.2s)
[ft] epoch 10: loss=0.0358 val_macro_f1=0.9291 lr=1.00e-05 (1549.9s)
[ft] epoch 11: loss=0.0306 val_macro_f1=0.9326 lr=5.00e-06 (1704.0s)
[ft] epoch 12: loss=0.0267 val_macro_f1=0.9569 lr=5.00e-06 (1857.5s)
[ft] epoch 13: loss=0.0096 val_macro_f1=0.9569 lr=5.00e-06 (2013.3s)
[ft] epoch 14: loss=0.0107 val_macro_f1=0.9562 lr=2.50e-06 (2169.3s)
[ft] epoch 15: loss=0.0087 val_macro_f1=0.9637 lr=2.50e-06 (2332.7s)
[ft] epoch 16: loss=0.0092 val_macro_f1=0.9562 lr=2.50e-06 (2496.7s)
[ft] 完成：best epoch 15 val_macro_f1=0.9637 → runs/codebert_ft_buggy/ss0/encoder
